City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.74,-90.35,72.0,84,92,4.0,EC,1594235256
1,bengkulu,-3.8,102.27,74.8,90,84,4.81,ID,1594235257
2,marsabit,2.33,37.99,72.88,51,99,19.89,KE,1594235257
3,kaitangata,-46.28,169.85,44.01,81,91,14.0,NZ,1594235257
4,leningradskiy,69.38,178.42,45.3,78,0,7.29,RU,1594235257
5,kodiak,57.79,-152.41,60.8,59,1,6.93,US,1594235258
6,coihaique,-45.58,-72.07,42.8,60,40,5.82,CL,1594235258
7,bluff,-46.6,168.33,39.0,83,83,3.0,NZ,1594235086
8,new norfolk,-42.78,147.06,35.01,92,1,2.53,AU,1594235104
9,hobart,-42.88,147.33,37.4,93,0,9.17,AU,1594235258
10,nazret,8.55,39.27,67.03,75,100,7.11,ET,1594235259
11,klaksvik,62.23,-6.59,51.8,81,55,11.41,FO,1594235095
12,mar del plata,-38.0,-57.56,48.2,70,75,5.82,AR,1594235225
13,constitucion,-35.33,-72.42,53.04,60,98,5.28,CL,1594235259
14,acarau,-2.89,-40.12,83.1,69,46,12.12,BR,1594234969
15,iquique,-20.22,-70.14,62.6,67,75,8.05,CL,1594235116
16,longyearbyen,78.22,15.64,46.4,70,75,6.93,SJ,1594235260
17,port alfred,-33.59,26.89,66.76,45,0,15.97,ZA,1594235260
18,grindavik,63.84,-22.43,48.2,76,75,16.11,IS,1594235260
19,kidal,18.44,1.41,97.54,17,18,9.44,ML,1594235260
20,khanpur,28.65,70.66,96.94,44,64,17.05,PK,1594235260
21,castro,-24.79,-50.01,59.56,89,100,7.81,BR,1594235261
22,barrow,71.29,-156.79,39.2,86,1,14.99,US,1594235212
23,fort saint james,54.43,-124.25,65.61,41,100,5.26,CA,1594235027
24,kamloops,50.67,-120.32,69.8,46,75,10.29,CA,1594235042
25,butaritari,3.07,172.79,82.99,77,0,17.47,KI,1594235103
26,saint george,37.1,-113.58,93.2,9,1,3.36,US,1594235124
27,gawler,-34.6,138.73,46.0,78,0,3.0,AU,1594235262
28,khatanga,71.97,102.5,58.33,54,17,16.78,RU,1594235118
29,omboue,-1.57,9.26,73.26,87,0,7.67,GA,1594235262
30,matara,5.95,80.54,79.86,87,100,9.48,LK,1594235262
31,half moon bay,37.46,-122.43,78.01,68,5,13.87,US,1594235027
32,rikitea,-23.12,-134.97,67.14,65,11,19.8,PF,1594235263
33,kutum,14.2,24.67,80.94,49,44,13.56,SD,1594235263
34,roros,62.57,11.38,50.0,66,77,12.75,NO,1594235263
35,ushuaia,-54.8,-68.3,42.8,75,40,17.22,AR,1594235236
36,atuona,-9.8,-139.03,79.7,74,6,12.33,PF,1594235110
37,palmer,42.16,-72.33,84.2,66,75,9.17,US,1594235264
38,kapaa,22.08,-159.32,80.6,69,40,17.22,US,1594235264
39,cape town,-33.93,18.42,62.01,81,37,1.12,ZA,1594235264
40,busselton,-33.65,115.33,44.01,88,97,4.9,AU,1594235264
41,kathu,7.92,98.33,82.99,94,75,2.24,TH,1594235264
42,ancud,-41.87,-73.82,50.0,75,40,10.29,CL,1594235265
43,dhilwan,31.52,75.35,84.2,79,40,3.36,IN,1594235265
44,bestobe,52.5,73.1,68.27,70,0,7.9,KZ,1594235265
45,port elizabeth,-33.92,25.57,59.0,82,0,8.05,ZA,1594235266
46,teguldet,57.31,88.17,61.59,94,100,6.26,RU,1594235266
